id,location_type,species,common_name,space_type,address,street,side,dbh,stems,height,space_length,space_width,overhead_utilities,hardscape,cultivar,date,notes,longitude,latitude,x,y
227539,Street,Platanus x acerifolia,"planetree, London",Tree Lawn,5110,SUNSET ROAD,Front,22.9,1,55,>20,5,None,None, ,"5/1/2017, 8:00 PM", ,-76.66534747,39.35287888,1406967.9344392568,614283.2900575846
227540,Street,Pyrus calleryana,"pear, callery",Tree Lawn,5110,SUNSET ROAD,Front,19.1,1,45,>20,5,None,None, ,"5/1/2017, 8:00 PM", ,-76.66535468,39.35296967,1406965.7743385881,614316.3519993424
227541,Street,Pyrus calleryana,"pear, callery",Tree Lawn,5110,SUNSET ROAD,Front,23.4,1,45,>20,5,Electric,None, ,"5/1/2017, 8:00 PM",DBH at 2,-76.66536395,39.35301905,1406963.0873360932,614334.3273570836
227542,Park,Prunus spp.,"cherry/plum, spp.",Open/Unrestricted,2501,W BELVEDERE AVE,Front,20,1,45,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.66542678,39.35299117,1406945.3580408394,614324.1095297486
227543,Park,Pyrus calleryana,"pear, callery",Open/Unrestricted,2501,W BELVEDERE AVE,Front,20.2,1,40,>20,>20,None,None, ,"5/1/2017, 8:00 PM",DBH at 2,-76.66549064,39.35307002,1406927.1953475028,614352.7613753378
227544,Park,Pyrus calleryana,"pear, callery",Open/Unrestricted,2501,W BELVEDERE AVE,Front,17.8,1,40,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.66556891,39.35305727,1406905.0772815049,614348.038943842
227545,Park,Pyrus calleryana,"pear, callery",Open/Unrestricted,2501,W BELVEDERE AVE,Front,28.8,1,43,>20,>20,Both,None, ,"5/1/2017, 8:00 PM",DBH at 2; cavity or decay,-76.66563483,39.35304135,1406886.4585523456,614342.1692049205
227546,Park,Pseudotsuga menziesii,douglas-fir,Open/Unrestricted,2501,W BELVEDERE AVE,Front,10,1,22,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM",vines >50%,-76.66558539,39.35288605,1406900.645859927,614285.6545541734
227547,Park,Pseudotsuga menziesii,douglas-fir,Open/Unrestricted,2501,W BELVEDERE AVE,Front,9.7,1,18,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM",vines >50%,-76.66562659,39.35285897,1406889.0320380032,614275.7490621656
227548,Street,Picea abies,"spruce, Norway",Open/Unrestricted,2511,W BELVEDERE AVE,Front,14.8,1,28,>20,6,Both,None, ,"5/1/2017, 8:00 PM",poor structure,-76.66630532,39.35293622,1406696.9950205088,614303.1847028434
227552,Street,Ulmus americana,"elm, American",Open/Unrestricted,2512,OAKLEY AVE,Front,36.3,1,65,>20,15,None,None, ,"5/1/2017, 8:00 PM", ,-76.66057392,39.34908515,1408322.9533827603,612906.4584936649
